Nodo1,Nodo2
140857600,2441819550
140857600,148564776
140857600,2098758068
140857600,2441819554
140857600,5241416653
1944434945,20944556
1944434945,461150736
1944434945,1944434960
1944434945,1944434972
158844418,20944556
158844418,618352978
158844418,444959672
158844418,444959856
1944434948,4511232860
1944434948,2441819564
1944434948,2441819570
140848388,396151769
140848388,457560075
457560075,444959652
444959885,444959915
444959885,445798502
2079100814,444959859
2079100814,3841809423
2079100814,4503512770
2079100814,461150736
3841809423,2098758070
1944434960,2441819564
1944434960,1944434922
461150736,444959901
461150736,2098758070
457560077,4511232861
148564371,1849075711
148564371,148564768
148564371,148564382
1944434968,1944434922
1944434968,2441819564
1944434968,2441819570
1944434972,2441819566
1944434972,2098758070
444959901,20944556
444959901,4503512770
444959901,444959672
2441819550,445798556
2441819550,5241416653
148564382,148564776
148564768,2098758068
148564768,148564776
445798556,148564776
2441819554,618352978
2441819554,444959856
2441819561,618352978
2441819561,5286077544
444959915,444959672
444959915,444959856
444959915,2098758067
20944556,1944434932
2441819566,2441819577
2441819566,2098758070
2441819570,1771623786
2441819570,5286077544
2098758067,4503512765
2098758068,445798502
2098758068,444959856
444959672,4503512765
2441819577,1944434936
165458362,457563240
4503512765,4503512770
1771573310,396151769
1771573310,5286077544
1771573310,457563240
1771573310,1771623786
4503512770,7288145231
618352974,1944434932
618352974,1944434922
618352974,5286077544
7288145231,444959859
618352978,1944434932
396151763,396151769
4511232860,4511232861
4511232861,1771623786
445798502,1849075711
