Nodo1,Nodo2
4736574468,4736544572
4736574468,2050908615
4736574468,1107272603
4736574468,8653318310
27867680,301650758
27867680,301650713
27867680,301650756
1373371465,302819918
302819918,302819926
302819918,3354630813
302819926,302819929
302819926,301650782
302819929,302820012
302819929,302820038
302819932,301650784
302819932,302819937
302819932,302819935
302819935,302819940
302819935,302820005
1373371487,301599585
1373371487,301599586
1373371487,28109578
1373371487,301650758
302819937,302819940
302819937,301599585
302819940,301599586
302819942,301599630
302819942,301599631
302819942,302819945
1373371495,28109578
302819945,301650628
302819945,301650770
302819947,301599590
302819947,301599630
302819947,302819950
302819950,301599589
302819950,301650628
302819952,301599631
302819952,301650804
302819952,7288843218
1373371508,1355871475
302819960,1111669155
302819960,1111669128
7291513993,301650717
7291513993,301650662
7291513993,301650686
2552447632,301650776
2552447632,301650791
2552447632,301650793
5045514907,301599590
5045514907,301650631
5045514907,301650633
3354630812,3354630813
3354630812,5045471096
3354630812,5045471193
302819998,25629439
302819998,301650793
302819998,302820005
302820005,301650791
8653318310,1107272592
8653318310,8653318311
2498048167,301650740
2498048167,1107272694
8653318311,4736544572
8653318311,1107272622
1111668903,1111669073
302820012,301650776
1373371567,301650665
1373371567,7292603799
1373371567,1373371615
1373371570,301650686
1373371570,1355871475
1373371570,301650665
301217459,28109600
301217459,4736544572
301217459,4736544569
301217459,2050908615
1373371586,301650645
1373371586,301650658
1373371586,1373371593
301650628,301650766
1111668934,1111668991
1111668934,4736544570
1111668934,1111669088
301650631,301650645
301650631,1111669157
5045515975,301650648
5045515975,301599619
5045515975,5045515993
1373371593,301650658
1373371593,301650726
1373371593,1373371618
301650633,1111669104
301650633,301650636
1111668939,5045471193
1111668939,1111669155
1111668939,1111669069
301650636,301599630
301650636,301650639
301650636,301650799
5045515980,1107272694
5045515980,2050908615
5045515980,301650742
301650639,301599631
301650639,301650797
301650645,301650710
5337479894,1373371636
5337479894,5337479896
301650648,301599618
301650648,301650650
301650648,301650658
301650650,301650690
301650650,301650655
301650650,301650752
5337479896,4736544570
5337479896,297509120
1373371615,1373371621
1373371615,7292603799
301650655,301650740
301650658,1373371618
1373371618,301650690
1373371621,301650665
1373371621,1373371636
1373371621,301650717
301650662,301650733
301650662,301650686
301650668,7292603799
1111668972,301650801
1111668972,301599626
1111668972,1111669106
1355871475,28109578
1373371636,1111669088
301650686,301650713
1111668991,28109600
1111668991,1111669088
25629439,301599587
297509120,6354206672
301650690,301650721
301650699,301650740
301650699,301650702
301650699,301650746
301650702,301650721
301650702,301650749
301650710,301650726
301650710,301650713
301650710,301650756
301650717,301650736
301650717,301650749
28109600,4736544569
301650721,301650730
301650726,301650733
301650726,301650730
301650730,301650736
301650733,301650736
301650740,301650742
301650742,301650746
4736544569,4736544570
301650746,301650749
4736544570,1107272654
4736544572,1107272654
301650752,3900024136
301650756,301650760
301650758,301650762
301650758,301599588
301650760,301599590
301650760,301650762
301650762,301599589
1111669069,299774416
1111669069,7288843218
301650766,301599588
301650766,301650768
301650768,299774416
301650768,301650770
1111669073,301599626
301650770,301599612
301650776,301650782
301650782,299774416
301650782,301650784
301599585,301599586
301599585,301599588
301599586,301599587
301599587,6354206677
301599588,301599589
301599589,301599590
301650791,301650784
301650797,301650799
301650799,301599607
301650799,301650801
1111669104,301650801
1111669104,1111669157
1111669106,301599618
1111669106,1111669157
301599607,301599626
5045471096,5045471193
301599612,299774416
301599612,7288843218
301599612,301599631
301599618,301599626
1111669128,1111669155
1111669128,7288843218
1107272592,1107272603
1107272622,1107272654
2050908615,1107272694
6354206672,6354206677
6354206672,6354206674
6354206674,6354206677
