Nodo1,Nodo2,lat1,long1,lat2,long2
477234177,304465010,-23.5978558,-46.6493228,-23.5977517,-46.6505793
1393379876,1393379785,-23.5969541,-46.6598723,-23.5962035,-46.6601411
1393379876,1393379907,-23.5969541,-46.6598723,-23.5971962,-46.6600245
1393379876,1393379932,-23.5969541,-46.6598723,-23.5973412,-46.6591875
2466359867,304465015,-23.5925104,-46.6564529,-23.5931884,-46.6584431
2466359867,2466359879,-23.5925104,-46.6564529,-23.5934423,-46.6560795
2466359869,304465095,-23.5927066,-46.6521683,-23.5923683,-46.6519491
2466359869,2466359875,-23.5927066,-46.6521683,-23.593238,-46.6524982
1393379907,304465040,-23.5971962,-46.6600245,-23.5975361,-46.6593097
1393379907,304465048,-23.5971962,-46.6600245,-23.5967426,-46.6609549
2466359875,142836883,-23.593238,-46.6524982,-23.5938139,-46.653077
2466359879,304465035,-23.5934423,-46.6560795,-23.5941027,-46.658043
2466359879,2466359887,-23.5934423,-46.6560795,-23.594,-46.6557983
2466359887,304465050,-23.594,-46.6557983,-23.5947073,-46.657799
2466359887,304465145,-23.594,-46.6557983,-23.5943945,-46.6554561
1393379932,304465027,-23.5973412,-46.6591875,-23.5970715,-46.6590075
1393379932,304465040,-23.5973412,-46.6591875,-23.5975361,-46.6593097
2466359901,1393379645,-23.5944143,-46.6548839,-23.5945832,-46.6543347
2466359901,2466359907,-23.5944143,-46.6548839,-23.59468,-46.6551022
2466359907,304465145,-23.59468,-46.6551022,-23.5943945,-46.6554561
2466359907,4583150341,-23.59468,-46.6551022,-23.5952646,-46.6546376
304465010,4033623326,-23.5977517,-46.6505793,-23.5964486,-46.6504841
304465010,4024247137,-23.5977517,-46.6505793,-23.5977112,-46.6510858
304465010,481466315,-23.5977517,-46.6505793,-23.5986422,-46.6506401
304465011,142840598,-23.5966782,-46.6567417,-23.5970383,-46.6561133
304465011,2380750801,-23.5966782,-46.6567417,-23.5969812,-46.6560581
304465011,5046399484,-23.5966782,-46.6567417,-23.5962652,-46.6571646
304465011,304693392,-23.5966782,-46.6567417,-23.5965811,-46.6569828
304465011,1393379726,-23.5966782,-46.6567417,-23.5953987,-46.6555377
142838902,302727636,-23.5999786,-46.6589118,-23.600067,-46.659
142838902,8723130199,-23.5999786,-46.6589118,-23.5993246,-46.6597294
142838902,302727638,-23.5999786,-46.6589118,-23.6000853,-46.6587766
142838902,304465016,-23.5999786,-46.6589118,-23.5976945,-46.656734
304465015,304693393,-23.5931884,-46.6584431,-23.5935801,-46.6596281
304465015,304465035,-23.5931884,-46.6584431,-23.5941027,-46.658043
304465016,142840598,-23.5976945,-46.656734,-23.5970383,-46.6561133
304465016,304465025,-23.5976945,-46.656734,-23.5966036,-46.658688
304465014,304465056,-23.5962382,-46.657178,-23.5950049,-46.6560296
304465014,5046375344,-23.5962382,-46.657178,-23.5954651,-46.6574915
304465014,5046399484,-23.5962382,-46.657178,-23.5962652,-46.6571646
304465014,2380750797,-23.5962382,-46.657178,-23.5963608,-46.6574281
304465025,304465028,-23.5966036,-46.658688,-23.5959957,-46.6582727
304465025,304465027,-23.5966036,-46.658688,-23.5970715,-46.6590075
304465026,304693393,-23.5938044,-46.660306,-23.5935801,-46.6596281
304465026,304465036,-23.5938044,-46.660306,-23.5947431,-46.6599402
304465027,8743596170,-23.5970715,-46.6590075,-23.5959966,-46.6594465
304465028,5046375342,-23.5959957,-46.6582727,-23.5956406,-46.6580267
304465028,304693391,-23.5959957,-46.6582727,-23.5958431,-46.6590396
304465028,2380750797,-23.5959957,-46.6582727,-23.5963608,-46.6574281
304465029,304693396,-23.5989763,-46.6601585,-23.5981098,-46.6596601
304465029,8723130199,-23.5989763,-46.6601585,-23.5993246,-46.6597294
304465030,304465145,-23.5947128,-46.6557567,-23.5943945,-46.6554561
304465030,304465056,-23.5947128,-46.6557567,-23.5950049,-46.6560296
