Nodo,numb_crimes
140857600,65
1944434945,3
158844418,5
1944434948,10
140848388,274
457560075,21
444959885,15
2079100814,11
3841809423,18
1944434960,0
461150736,3
457560077,13
148564371,2
1944434968,2
1944434972,6
444959901,10
2441819550,9
148564382,35
148564768,4
445798556,15
2441819554,10
444959652,78
148564776,14
2441819561,81
444959915,1
20944556,10
2441819564,4
2441819566,13
2441819570,6
2098758067,21
2098758068,21
2098758070,9
444959672,7
2441819577,11
165458362,24
4503512765,15
1771573310,43
4503512770,4
5241416653,74
618352974,7
7288145231,3
618352978,12
396151763,22
396151769,36
4511232860,34
4511232861,13
445798502,6
5286077544,30
457563240,43
1944434922,20
1771623786,23
444959856,4
444959859,2
1944434932,4
1944434936,6
1849075711,19
