Nodo,numb_crimes
4736574468,0
27867680,1
1373371465,2
302819918,13
302819926,29
302819929,0
302819932,9
302819935,4
1373371487,3
302819937,1
302819940,2
302819942,1
1373371495,0
302819945,1
302819947,0
302819950,0
302819952,2
1373371508,1
302819960,1
7291513993,1
2552447632,7
5045514907,4
3354630812,9
3354630813,24
302819998,3
302820005,6
8653318310,1
2498048167,0
8653318311,1
1111668903,0
302820012,0
1373371567,0
1373371570,0
301217459,5
1373371586,2
301650628,0
1111668934,3
301650631,7
5045515975,0
1373371593,0
301650633,0
1111668939,23
301650636,1
5045515980,0
302820038,0
301650639,0
301650645,2
5337479894,0
301650648,1
5045515993,0
301650650,1
5337479896,1
1373371615,1
301650655,2
301650658,0
1373371618,0
1373371621,0
301650662,0
301650665,0
301650668,0
1111668972,0
1355871475,4
1373371636,1
301650686,0
1111668991,0
25629439,0
297509120,6
301650690,1
28109578,1
301650699,0
301650702,1
301650710,2
301650713,0
301650717,0
28109600,1
301650721,1
301650726,0
301650730,1
301650733,1
301650736,1
301650740,0
301650742,1
4736544569,1
301650746,0
4736544570,0
4736544572,0
301650749,1
301650752,0
301650756,0
301650758,0
301650760,0
3900024136,1
301650762,0
1111669069,18
301650766,2
301650768,8
1111669073,0
301650770,0
301650776,1
301650782,29
1111669088,5
301599585,4
301599586,6
301599587,0
301599588,2
301599589,1
301599590,0
301650791,7
301650784,19
301650793,6
301650797,0
301650799,0
1111669104,2
301650801,0
1111669106,0
301650804,1
301599607,2
5045471096,6
301599612,1
301599618,3
301599619,0
1111669128,1
301599626,1
301599630,2
301599631,2
1107272592,5
7292603799,4
1107272603,1
1111669155,0
1111669157,1
1107272622,1
2050908615,0
1107272654,2
299774416,11
6354206672,1
7288843218,4
6354206674,1
6354206677,3
5045471193,23
1107272694,0
