Nodo,numb_crimes,lat,long
477234177,2,-23.5978558,-46.6493228
1393379876,0,-23.5969541,-46.6598723
2466359867,2,-23.5925104,-46.6564529
2466359869,1,-23.5927066,-46.6521683
1393379907,0,-23.5971962,-46.6600245
2466359875,1,-23.593238,-46.6524982
2466359879,2,-23.5934423,-46.6560795
2466359887,0,-23.594,-46.6557983
1393379932,0,-23.5973412,-46.6591875
2466359901,0,-23.5944143,-46.6548839
2466359907,0,-23.59468,-46.6551022
304465010,4,-23.5977517,-46.6505793
304465011,0,-23.5966782,-46.6567417
142838902,5,-23.5999786,-46.6589118
304465015,2,-23.5931884,-46.6584431
304465016,0,-23.5976945,-46.656734
304465014,1,-23.5962382,-46.657178
304465025,1,-23.5966036,-46.658688
304465026,8,-23.5938044,-46.660306
304465027,0,-23.5970715,-46.6590075
304465028,0,-23.5959957,-46.6582727
304465029,0,-23.5989763,-46.6601585
304465030,0,-23.5947128,-46.6557567
304465031,0,-23.5953194,-46.6575485
304693382,1,-23.5932285,-46.6523637
304465033,0,-23.5965916,-46.6612955
8743596170,0,-23.5959966,-46.6594465
304465035,0,-23.5941027,-46.658043
8743596171,0,-23.5959684,-46.6594317
8743596172,0,-23.5959551,-46.6594628
8743596173,0,-23.5959833,-46.6594774
304693391,0,-23.5958431,-46.6590396
304693392,0,-23.5965811,-46.6569828
304465040,0,-23.5975361,-46.6593097
304693394,0,-23.5945148,-46.6592638
142836883,0,-23.5938139,-46.653077
304693396,1,-23.5981098,-46.6596601
304693389,2,-23.5937841,-46.6514319
304693393,3,-23.5935801,-46.6596281
304693398,0,-23.6014439,-46.6570729
304465048,0,-23.5967426,-46.6609549
304465050,0,-23.5947073,-46.657799
304465051,2,-23.5953515,-46.6596974
304465052,0,-23.5959712,-46.6615477
8726319258,0,-23.5992125,-46.6514582
304465056,0,-23.5950049,-46.6560296
304465062,0,-23.5936548,-46.6527739
304693419,1,-23.5992531,-46.6600058
304465087,4,-23.6007568,-46.6579322
304465088,1,-23.6001963,-46.6574193
304465095,1,-23.5923683,-46.6519491
304693451,3,-23.6008425,-46.6597586
1393379541,0,-23.5934984,-46.6540633
304693470,0,-23.5996479,-46.6603918
304465121,1,-23.5948148,-46.6540271
304465036,2,-23.5947431,-46.6599402
3270516969,2,-23.5988634,-46.6512067
3270516970,0,-23.5995029,-46.6512745
3472243445,0,-23.601245,-46.6568843
1434789113,27,-23.5964016,-46.6509745
304465145,0,-23.5943945,-46.6554561
4583150341,0,-23.5952646,-46.6546376
298291977,5,-23.6017455,-46.6603707
142840597,4,-23.5958389,-46.6549856
142840598,0,-23.5970383,-46.6561133
4033623326,1,-23.5964486,-46.6504841
298288943,1,-23.6015358,-46.6571615
1393380658,0,-23.5991534,-46.6514055
298292027,3,-23.6016476,-46.6587608
298292028,1,-23.6008647,-46.6580019
1393379645,0,-23.5945832,-46.6543347
1393380694,0,-23.5993146,-46.6514354
8723130199,0,-23.5993246,-46.6597294
5046382431,0,-23.5948695,-46.6562046
4024247137,19,-23.5977112,-46.6510858
2513875329,1,-23.5956514,-46.6548095
1393379726,0,-23.5953987,-46.6555377
298292112,1,-23.6009544,-46.6596247
1393379735,0,-23.5955099,-46.6580802
2583653802,0,-23.5999026,-46.6586046
5046375342,0,-23.5956406,-46.6580267
5046375344,0,-23.5954651,-46.6574915
2583653816,1,-23.600224,-46.6586041
1393379785,0,-23.5962035,-46.6601411
481466315,1,-23.5986422,-46.6506401
2380750797,0,-23.5963608,-46.6574281
2380750801,2,-23.5969812,-46.6560581
2380750803,0,-23.5970272,-46.6559469
302727636,2,-23.600067,-46.659
302727637,0,-23.6001726,-46.6588643
302727638,1,-23.6000853,-46.6587766
8050222057,0,-23.5965697,-46.6613385
142842350,3,-23.5970891,-46.6560083
142842351,12,-23.5958231,-46.6548171
8732206066,0,-23.5970104,-46.6559315
8732206070,29,-23.5971375,-46.6558969
5046399484,0,-23.5962652,-46.6571646
